20.10.19 05:17:39.600 37.663063N 122.489326W 29.58C 1005.26| 0.00C 0.00| 0.00C 0.00| dv<1.29 0.73 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:39.700 37.663063N 122.489326W 29.58C 1005.22| 24.59C 1004.27| 0.00C 0.00| dv<1.28 0.73 9.61> r<0.02 -0.00 0.01>
20.10.19 05:17:39.800 37.663063N 122.489326W 29.58C 1005.25| 24.66C 1004.29| 0.00C 0.00| dv<1.28 0.73 9.67> r<0.02 -0.00 0.01>
20.10.19 05:17:39.900 37.663063N 122.489326W 29.58C 1005.22| 24.74C 1004.35| 0.00C 0.00| dv<1.26 0.74 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:40.000 37.663063N 122.489326W 29.58C 1005.23| 24.78C 1004.36| 0.00C 0.00| dv<1.26 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:40.100 37.663063N 122.489326W 29.58C 1005.24| 24.82C 1004.38| 0.00C 0.00| dv<1.29 0.72 9.61> r<0.02 -0.00 0.01>
20.10.19 05:17:40.200 37.663063N 122.489326W 29.58C 1005.22| 24.82C 1004.35| 0.00C 0.00| dv<1.27 0.73 9.59> r<0.02 -0.00 0.01>
20.10.19 05:17:40.300 37.663063N 122.489326W 29.57C 1005.28| 24.86C 1004.40| 0.00C 0.00| dv<1.24 0.73 9.64> r<0.03 -0.00 0.01>
20.10.19 05:17:40.400 37.663063N 122.489326W 29.57C 1005.24| 24.86C 1004.41| 0.00C 0.00| dv<1.26 0.72 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:40.500 37.663063N 122.489326W 29.57C 1005.22| 24.88C 1004.43| 0.00C 0.00| dv<1.28 0.73 9.62> r<0.03 -0.00 0.01>
20.10.19 05:17:40.600 37.663063N 122.489326W 29.58C 1005.23| 24.89C 1004.39| 0.00C 0.00| dv<1.25 0.74 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:40.700 37.663063N 122.489326W 29.58C 1005.24| 24.90C 1004.42| 0.00C 0.00| dv<1.27 0.74 9.68> r<0.02 -0.00 0.01>
20.10.19 05:17:40.800 37.663063N 122.489326W 29.57C 1005.24| 24.91C 1004.43| 0.00C 0.00| dv<1.24 0.74 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:40.900 37.663063N 122.489326W 29.58C 1005.23| 24.92C 1004.44| 0.00C 0.00| dv<1.26 0.72 9.60> r<0.03 -0.00 0.01>
20.10.19 05:17:41.000 37.663063N 122.489326W 29.57C 1005.24| 24.92C 1004.42| 0.00C 0.00| dv<1.24 0.73 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:41.100 37.663063N 122.489326W 29.57C 1005.25| 24.92C 1004.41| 0.00C 0.00| dv<1.30 0.72 9.66> r<0.02 0.00 0.01>
20.10.19 05:17:41.200 37.663071N 122.489326W 29.57C 1005.22| 24.93C 1004.43| 0.00C 0.00| dv<1.26 0.74 9.65> r<0.03 -0.00 0.01>
20.10.19 05:17:41.300 37.663071N 122.489326W 29.58C 1005.24| 24.93C 1004.42| 0.00C 0.00| dv<1.27 0.76 9.62> r<0.02 0.00 0.01>
20.10.19 05:17:41.400 37.663071N 122.489326W 29.57C 1005.26| 24.94C 1004.45| 0.00C 0.00| dv<1.26 0.76 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:41.500 37.663071N 122.489326W 29.57C 1005.26| 24.95C 1004.44| 0.00C 0.00| dv<1.27 0.74 9.65> r<0.02 -0.00 0.01>
20.10.19 05:17:41.600 37.663071N 122.489326W 29.57C 1005.26| 24.94C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.68> r<0.03 -0.00 0.01>
20.10.19 05:17:41.700 37.663071N 122.489326W 29.57C 1005.25| 24.95C 1004.43| 0.00C 0.00| dv<1.22 0.75 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:41.800 37.663071N 122.489326W 29.57C 1005.23| 24.95C 1004.45| 0.00C 0.00| dv<1.23 0.75 9.63> r<0.02 -0.00 0.01>
20.10.19 05:17:41.900 37.663071N 122.489326W 29.57C 1005.24| 24.94C 1004.44| 0.00C 0.00| dv<1.27 0.73 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:42.000 37.663071N 122.489326W 29.57C 1005.25| 24.94C 1004.43| 0.00C 0.00| dv<1.27 0.71 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:42.100 37.663071N 122.489326W 29.57C 1005.26| 24.95C 1004.41| 0.00C 0.00| dv<1.25 0.74 9.62> r<0.02 0.00 0.01>
20.10.19 05:17:42.200 37.663071N 122.489326W 29.57C 1005.23| 24.95C 1004.44| 0.00C 0.00| dv<1.22 0.72 9.60> r<0.03 -0.00 0.01>
20.10.19 05:17:42.300 37.663071N 122.489326W 29.57C 1005.24| 24.95C 1004.42| 0.00C 0.00| dv<1.26 0.73 9.59> r<0.03 -0.00 0.01>
20.10.19 05:17:42.400 37.663071N 122.489326W 29.57C 1005.25| 24.96C 1004.41| 0.00C 0.00| dv<1.23 0.71 9.64> r<0.02 -0.00 0.01>
20.10.19 05:17:42.500 37.663071N 122.489326W 29.57C 1005.25| 24.96C 1004.42| 0.00C 0.00| dv<1.27 0.71 9.61> r<0.02 0.00 0.01>
20.10.19 05:17:42.600 37.663071N 122.489326W 29.57C 1005.27| 24.97C 1004.43| 0.00C 0.00| dv<1.26 0.71 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:42.700 37.663071N 122.489326W 29.56C 1005.24| 24.97C 1004.42| 0.00C 0.00| dv<1.25 0.75 9.60> r<0.02 -0.00 0.01>
20.10.19 05:17:42.800 37.663071N 122.489326W 29.56C 1005.23| 24.97C 1004.43| 0.00C 0.00| dv<1.25 0.70 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:42.900 37.663071N 122.489326W 29.56C 1005.25| 24.97C 1004.45| 0.00C 0.00| dv<1.23 0.69 9.63> r<0.02 0.00 0.01>
20.10.19 05:17:43.000 37.663071N 122.489326W 29.57C 1005.26| 24.98C 1004.44| 0.00C 0.00| dv<1.25 0.74 9.60> r<0.02 0.00 0.01>
20.10.19 05:17:43.100 37.663071N 122.489326W 29.56C 1005.22| 24.98C 1004.42| 0.00C 0.00| dv<1.28 0.71 9.61> r<0.03 -0.00 0.01>
20.10.19 05:17:43.200 37.663071N 122.489326W 29.56C 1005.25| 24.97C 1004.43| 0.00C 0.00| dv<1.27 0.71 9.66> r<0.02 -0.00 0.01>
20.10.19 05:17:43.300 37.663071N 122.489326W 29.56C 1005.24| 24.98C 1004.43| 0.00C 0.00| dv<1.27 0.72 9.70> r<0.02 -0.00 0.01>
20.10.19 05:17:43.400 37.663071N 122.489326W 29.56C 1005.25| 24.98C 1004.45| 0.00C 0.00| dv<1.25 0.71 9.56> r<0.02 -0.00 0.02>
